wind_speed,swr,LAKE_PARAMS/c_relax_C,LAKE_PARAMS/depth_w_lk,LAKE_PARAMS/T_bs_lk,par_id
0.7701,0.63204,0.0080868,4.6124,16.759,p0478
0.87313,0.80873,0.004364,3.8313,10.241,p0479
1.1073,0.8369,0.0013577,1.6526,12.696,p0480
0.93898,0.83298,0.0016533,0.49544,18.373,p0481
1.1184,1.1745,0.0074499,0.84727,4.0435,p0482
1.2927,1.3998,0.0071063,2.0032,16.885,p0483
0.69292,1.3428,0.009444,2.3497,13.896,p0484
1.4544,1.2003,0.0091819,2.1448,12.18,p0485
0.70123,0.53826,0.0043178,3.0323,13.642,p0486
1.4229,0.57109,0.0076938,0.41835,13.067,p0487
1.0177,1.1867,0.003793,4.3253,9.9643,p0488
1.0603,1.4347,0.0034677,1.5589,7.1912,p0489
0.93399,1.499,0.0010862,3.9244,8.1822,p0490
0.78465,0.99627,0.0036635,5.6497,17.64,p0491
1.3226,0.56813,0.0058357,5.7089,4.3882,p0492
0.72633,0.9241,0.0018395,2.8678,12.871,p0493
1.2487,1.453,0.0013755,2.3091,4.7102,p0494
0.9097,0.61356,0.002854,1.2486,4.3304,p0495
1.3524,0.66237,0.0064717,2.1314,19.488,p0496
1.3748,1.1719,0.0022241,1.6944,16.011,p0497
0.83063,1.2524,0.0084743,0.44093,7.8687,p0498
1.4676,1.4412,0.0038186,5.5589,8.3729,p0499
1.3242,0.79551,0.0016742,0.75816,4.102,p0500
